,index,Station,Date,Time,Precip,type,Air max,min,obs,Wx,Wind dir,speed,Bulb wet,dry,Soil max,min.1,Evap,Solar,ETo,RH max,min.2
SAN_DIEGO.A,122,20020502,2359,0.0,,63,49,,,,,,,66.0,63.0,,630,0.18,86.0,56.0,
SAN_DIEGO.A,123,20020503,2359,0.0,,64,51,,,,,,,66.0,64.0,,554,0.16,94.0,70.0,
SAN_DIEGO.A,124,20020504,2359,0.0,,64,52,,,,,,,67.0,64.0,,610,0.17,95.0,73.0,
SAN_DIEGO.A,125,20020505,2359,0.0,,63,54,,,,,,,67.0,65.0,,573,0.16,91.0,73.0,
SAN_DIEGO.A,126,20020506,2359,0.0,,64,54,,,,,,,67.0,65.0,,544,0.15,93.0,69.0,
SAN_DIEGO.A,127,20020507,2359,0.0,,62,55,,,,,,,66.0,64.0,,209,0.06,95.0,64.0,
SAN_DIEGO.A,128,20020508,2359,0.0,,63,55,,,,,,,67.0,65.0,,564,0.16,90.0,72.0,
SAN_DIEGO.A,129,20020509,2359,0.0,,68,55,,,,,,,68.0,66.0,,640,0.19,90.0,72.0,
SAN_DIEGO.A,130,20020510,2359,0.0,,65,54,,,,,,,68.0,66.0,,642,0.19,88.0,70.0,
SAN_DIEGO.A,131,20020511,2359,0.0,,66,53,,,,,,,68.0,66.0,,654,0.19,83.0,64.0,
SAN_DIEGO.A,132,20020512,2359,0.0,,88,53,,,,,,,68.0,66.0,,710,0.26,93.0,19.0,
SAN_DIEGO.A,133,20020513,2359,0.0,,80,56,,,,,,,69.0,66.0,,705,0.21,95.0,40.0,
SAN_DIEGO.A,134,20020514,2359,0.0,,68,56,,,,,,,69.0,67.0,,693,0.2,97.0,69.0,
SAN_DIEGO.A,135,20020515,2359,0.0,,61,56,,,,,,,69.0,67.0,,365,0.1,87.0,76.0,
SAN_DIEGO.A,136,20020516,2359,0.0,,63,55,,,,,,,68.0,67.0,,504,0.14,97.0,73.0,
SAN_DIEGO.A,137,20020517,2359,0.0,,66,57,,,,,,,68.0,67.0,,484,0.14,89.0,72.0,
SAN_DIEGO.A,138,20020518,2359,0.0,,62,57,,,,,,,68.0,67.0,,227,0.05,92.0,81.0,
SAN_DIEGO.A,139,20020519,2359,0.0,,65,57,,,,,,,67.0,66.0,,359,0.1,91.0,72.0,
SAN_DIEGO.A,140,20020520,2359,0.0,,64,56,,,,,,,67.0,66.0,,516,0.15,95.0,71.0,
SAN_DIEGO.A,141,20020521,2359,0.0,,64,53,,,,,,,67.0,66.0,,529,0.17,85.0,57.0,
SAN_DIEGO.A,142,20020522,2359,0.0,,68,50,,,,,,,67.0,65.0,,711,0.22,95.0,55.0,
SAN_DIEGO.A,143,20020523,2359,0.0,,68,51,,,,,,,72.0,63.0,,708,0.19,97.0,74.0,
SAN_DIEGO.A,144,20020524,2359,0.0,,65,53,,,,,,,69.0,66.0,,626,0.18,96.0,70.0,
SAN_DIEGO.A,145,20020525,2359,0.0,,64,55,,,,,,,68.0,66.0,,540,0.15,93.0,70.0,
SAN_DIEGO.A,146,20020526,2359,0.0,,65,54,,,,,,,69.0,67.0,,577,0.17,93.0,66.0,
SAN_DIEGO.A,147,20020527,2359,0.0,,67,54,,,,,,,69.0,67.0,,614,0.19,94.0,68.0,
SAN_DIEGO.A,148,20020528,2359,0.0,,69,55,,,,,,,70.0,67.0,,620,0.19,93.0,69.0,
SAN_DIEGO.A,149,20020529,2359,0.0,,70,58,,,,,,,71.0,68.0,,675,0.2,97.0,73.0,
SAN_DIEGO.A,150,20020530,2359,0.0,,71,58,,,,,,,71.0,69.0,,417,0.12,98.0,75.0,
SAN_DIEGO.A,151,20020531,2359,0.0,,73,56,,,,,,,,,,574,0.17,96.0,79.0,
SAN_DIEGO.A,152,20020601,2359,0.0,,69,60,,,W,5.0,,,71.0,69.0,,674,0.2,87.5,68.9,
SAN_DIEGO.A,153,20020602,2359,0.0,,67,58,,,SW,5.0,,,71.0,69.0,,629,0.19,84.3,68.8,
